# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
3.310000e+02 8.378329e-02 3.456105e-02 1.055725e+10
3.320000e+02 8.368894e-02 3.450954e-02 1.030697e+10
3.330000e+02 8.351719e-02 3.445687e-02 1.006221e+10
3.340000e+02 8.340709e-02 3.440423e-02 9.824619e+09
3.350000e+02 8.325784e-02 3.435364e-02 9.590343e+09
3.360000e+02 8.312809e-02 3.430005e-02 9.364533e+09
3.370000e+02 8.299803e-02 3.425108e-02 9.140672e+09
3.380000e+02 8.285568e-02 3.419720e-02 8.925647e+09
3.390000e+02 8.273703e-02 3.414915e-02 8.712140e+09
3.400000e+02 8.258688e-02 3.409545e-02 8.507158e+09
3.410000e+02 8.247786e-02 3.404818e-02 8.303570e+09
3.420000e+02 8.232096e-02 3.399456e-02 8.108238e+09
3.430000e+02 8.222706e-02 3.394830e-02 7.913953e+09
3.440000e+02 8.205891e-02 3.389454e-02 7.727949e+09
3.450000e+02 8.197296e-02 3.384905e-02 7.542606e+09
3.460000e+02 8.180600e-02 3.379555e-02 7.365320e+09
3.470000e+02 8.171570e-02 3.375049e-02 7.188647e+09
3.480000e+02 8.155535e-02 3.369768e-02 7.019611e+09
3.490000e+02 8.146445e-02 3.365303e-02 6.851125e+09
3.500000e+02 8.130020e-02 3.360034e-02 6.690155e+09
3.510000e+02 8.122070e-02 3.355655e-02 6.529339e+09
3.520000e+02 8.104880e-02 3.350406e-02 6.375990e+09
3.530000e+02 8.097245e-02 3.346077e-02 6.222651e+09
3.540000e+02 8.080864e-02 3.340865e-02 6.076507e+09
3.550000e+02 8.071789e-02 3.336569e-02 5.930301e+09
3.560000e+02 8.057029e-02 3.331410e-02 5.791033e+09
3.570000e+02 8.047294e-02 3.327146e-02 5.651598e+09
3.580000e+02 8.033089e-02 3.322055e-02 5.518840e+09
3.590000e+02 8.021749e-02 3.317791e-02 5.385995e+09
3.600000e+02 8.011039e-02 3.312854e-02 5.259284e+09
3.610000e+02 7.995994e-02 3.308447e-02 5.133039e+09
3.620000e+02 7.988344e-02 3.303744e-02 5.011741e+09
3.630000e+02 7.971138e-02 3.299177e-02 4.891891e+09
3.640000e+02 7.966113e-02 3.294771e-02 4.775606e+09
3.650000e+02 7.945848e-02 3.289906e-02 4.662329e+09
3.660000e+02 7.943868e-02 3.285898e-02 4.550441e+09
3.670000e+02 7.921983e-02 3.280797e-02 4.443397e+09
3.680000e+02 7.919959e-02 3.277040e-02 4.335991e+09
3.690000e+02 7.899921e-02 3.271796e-02 4.234649e+09
3.700000e+02 7.895766e-02 3.268195e-02 4.131646e+09
3.710000e+02 7.879416e-02 3.263031e-02 4.035301e+09
3.720000e+02 7.869816e-02 3.259215e-02 3.937406e+09
3.730000e+02 7.860095e-02 3.254469e-02 3.844927e+09
3.740000e+02 7.844540e-02 3.250267e-02 3.752464e+09
3.750000e+02 7.840625e-02 3.246054e-02 3.663296e+09
3.760000e+02 7.819610e-02 3.241347e-02 3.576400e+09
3.770000e+02 7.819265e-02 3.237690e-02 3.490148e+09
3.780000e+02 7.798850e-02 3.232667e-02 3.408343e+09
3.790000e+02 7.794950e-02 3.229168e-02 3.325552e+09
3.800000e+02 7.779305e-02 3.224283e-02 3.247684e+09
3.810000e+02 7.769450e-02 3.220530e-02 3.169082e+09
3.820000e+02 7.761545e-02 3.216110e-02 3.094227e+09
3.830000e+02 7.744699e-02 3.211870e-02 3.020216e+09
3.840000e+02 7.741384e-02 3.208046e-02 2.947818e+09
3.850000e+02 7.723054e-02 3.203367e-02 2.878302e+09
3.860000e+02 7.717759e-02 3.199855e-02 2.808569e+09
3.870000e+02 7.704739e-02 3.195226e-02 2.742583e+09
3.880000e+02 7.693804e-02 3.191480e-02 2.676358e+09
3.890000e+02 7.686244e-02 3.187338e-02 2.612857e+09
3.900000e+02 7.670224e-02 3.183112e-02 2.550545e+09
3.910000e+02 7.666054e-02 3.179483e-02 2.489210e+09
3.920000e+02 7.649164e-02 3.174909e-02 2.430559e+09
3.930000e+02 7.643703e-02 3.171527e-02 2.371568e+09
3.940000e+02 7.632048e-02 3.167084e-02 2.315798e+09
3.950000e+02 7.618098e-02 3.163301e-02 2.259990e+09
3.960000e+02 7.614333e-02 3.159580e-02 2.205984e+09
3.970000e+02 7.596633e-02 3.155148e-02 2.153803e+09
3.980000e+02 7.591833e-02 3.151886e-02 2.101555e+09
3.990000e+02 7.580391e-02 3.147497e-02 2.052104e+09
4.000000e+02 7.568091e-02 3.143836e-02 2.002625e+09
4.010000e+02 7.563291e-02 3.140194e-02 1.954720e+09
4.020000e+02 7.547271e-02 3.135852e-02 1.908509e+09
4.030000e+02 7.541091e-02 3.132656e-02 1.862176e+09
4.040000e+02 7.530575e-02 3.128440e-02 1.818286e+09
4.050000e+02 7.517210e-02 3.124764e-02 1.774528e+09
4.060000e+02 7.513010e-02 3.121306e-02 1.731968e+09
4.070000e+02 7.497275e-02 3.117034e-02 1.691033e+09
4.080000e+02 7.492295e-02 3.113925e-02 1.649961e+09
4.090000e+02 7.480925e-02 3.109795e-02 1.611043e+09
4.100000e+02 7.469375e-02 3.106246e-02 1.572253e+09
4.110000e+02 7.464590e-02 3.102832e-02 1.534535e+09
4.120000e+02 7.449005e-02 3.098717e-02 1.498223e+09
4.130000e+02 7.443995e-02 3.095621e-02 1.461881e+09
4.140000e+02 7.432475e-02 3.091682e-02 1.427298e+09
4.150000e+02 7.421044e-02 3.088139e-02 1.393009e+09
4.160000e+02 7.416049e-02 3.084876e-02 1.359503e+09
4.170000e+02 7.400629e-02 3.080869e-02 1.327363e+09
4.180000e+02 7.395979e-02 3.077812e-02 1.295158e+09
4.190000e+02 7.385299e-02 3.074140e-02 1.264420e+09
4.200000e+02 7.372654e-02 3.070506e-02 1.234173e+09
4.210000e+02 7.369759e-02 3.067463e-02 1.204370e+09
4.220000e+02 7.353994e-02 3.063634e-02 1.175857e+09
4.230000e+02 7.347844e-02 3.060397e-02 1.147516e+09
4.240000e+02 7.340779e-02 3.057201e-02 1.119973e+09
4.250000e+02 7.325644e-02 3.053444e-02 1.093410e+09
4.260000e+02 7.322449e-02 3.050445e-02 1.066943e+09
4.270000e+02 7.311558e-02 3.047124e-02 1.041469e+09
