     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
2.68000e+04  3.208e+12  8.367791e-01  0.000000e+00  0.000000e+00  9.793e+09
2.69000e+04  3.197e+12  8.368674e-01  0.000000e+00  0.000000e+00  9.600e+09
2.70000e+04  3.187e+12  8.369561e-01  0.000000e+00  0.000000e+00  9.411e+09
2.71000e+04  3.177e+12  8.370464e-01  0.000000e+00  0.000000e+00  9.227e+09
2.72000e+04  3.167e+12  8.371363e-01  0.000000e+00  0.000000e+00  9.046e+09
2.73000e+04  3.156e+12  8.372266e-01  0.000000e+00  0.000000e+00  8.870e+09
2.74000e+04  3.146e+12  8.373174e-01  0.000000e+00  0.000000e+00  8.698e+09
2.75000e+04  3.136e+12  8.374087e-01  0.000000e+00  0.000000e+00  8.530e+09
2.76000e+04  3.126e+12  8.375005e-01  0.000000e+00  0.000000e+00  8.365e+09
2.77000e+04  3.115e+12  8.375927e-01  0.000000e+00  0.000000e+00  8.205e+09
2.78000e+04  3.105e+12  8.376854e-01  0.000000e+00  0.000000e+00  8.047e+09
2.79000e+04  3.095e+12  8.377786e-01  0.000000e+00  0.000000e+00  7.894e+09
2.80000e+04  3.085e+12  8.378722e-01  0.000000e+00  0.000000e+00  7.743e+09
2.81000e+04  3.074e+12  8.379663e-01  0.000000e+00  0.000000e+00  7.596e+09
2.82000e+04  3.064e+12  8.380608e-01  0.000000e+00  0.000000e+00  7.453e+09
2.83000e+04  3.054e+12  8.381558e-01  0.000000e+00  0.000000e+00  7.312e+09
2.84000e+04  3.044e+12  8.382511e-01  0.000000e+00  0.000000e+00  7.175e+09
2.85000e+04  3.033e+12  8.383469e-01  0.000000e+00  0.000000e+00  7.040e+09
2.86000e+04  3.023e+12  8.384432e-01  0.000000e+00  0.000000e+00  6.908e+09
2.87000e+04  3.013e+12  8.385398e-01  0.000000e+00  0.000000e+00  6.780e+09
2.88000e+04  3.003e+12  8.386368e-01  0.000000e+00  0.000000e+00  6.654e+09
2.89000e+04  2.993e+12  8.387343e-01  0.000000e+00  0.000000e+00  6.530e+09
2.90000e+04  2.983e+12  8.388321e-01  0.000000e+00  0.000000e+00  6.410e+09
2.91000e+04  2.972e+12  8.389304e-01  0.000000e+00  0.000000e+00  6.292e+09
2.92000e+04  2.962e+12  8.390290e-01  0.000000e+00  0.000000e+00  6.176e+09
2.93000e+04  2.952e+12  8.391280e-01  0.000000e+00  0.000000e+00  6.063e+09
2.94000e+04  2.942e+12  8.392274e-01  0.000000e+00  0.000000e+00  5.952e+09
2.95000e+04  2.932e+12  8.393271e-01  0.000000e+00  0.000000e+00  5.844e+09
2.96000e+04  2.922e+12  8.394272e-01  0.000000e+00  0.000000e+00  5.738e+09
2.97000e+04  2.912e+12  8.395277e-01  0.000000e+00  0.000000e+00  5.634e+09
2.98000e+04  2.902e+12  8.396285e-01  0.000000e+00  0.000000e+00  5.532e+09
2.99000e+04  2.892e+12  8.397297e-01  0.000000e+00  0.000000e+00  5.432e+09
